Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11177,e.COBUS 2700S,COBUS Industries,"",77,[10062],Electric,Transit Bus,""
10502,e.COBUS 3000,COBUS Industries,"",110,[10062],Electric,Transit Bus,""
11143,DE516,Collins Bus Corp.,Motiv,24,[10477],Electric,School Bus,""
11144,DE516WF,Collins Bus Corp.,Motiv,16 + 1 wheelchair,[10477],Electric,School Bus,""
11251,Ford E-Transit,Collins Bus Corp.,"",16 + 1 wheelchair,[],Electric,School Bus,""
11252,Broom Bear Electric,Elgin,"","",[10593],Electric,Street Sweeper,Automatic
11220,Axess EVO-BEB 32',ENC,.,.27,[10594],Electric,Transit Bus,""
11221,Axess EVO-BEB 35',ENC,.,.35,[10594],Electric,Transit Bus,""
11222,Axess EVO-BEB 40',ENC,.,.43,[10594],Electric,Transit Bus,""
11246,Cutaway Van,Envirotech,"","",[10587],Electric,Vocational/Cab Chassis,Automatic
